athlete_id,athlete_display_name,athlete_position_abbreviation,team_id,team_abbreviation,player_idx
1966,LeBron James,F,13,LAL,1
2779,Chris Paul,G,12,LAC,2
3012,Kyle Lowry,G,20,PHI,3
3195,Mike Conley,G,16,MIN,4
3202,Kevin Durant,F,10,HOU,5
3209,Jeff Green,F,10,HOU,6
3213,Al Horford,C,9,GS,7
3416,Nicolas Batum,F,12,LAC,8
3431,Eric Gordon,G,20,PHI,9
3442,DeAndre Jordan,C,3,NO,10
3448,Brook Lopez,C,12,LAC,11
3449,Kevin Love,F,26,UTAH,12
3468,Russell Westbrook,G,23,SAC,13
3975,Stephen Curry,G,9,GS,14
3978,DeMar DeRozan,G,23,SAC,15
3992,James Harden,G,12,LAC,16
3995,Jrue Holiday,G,22,POR,17
4023,Garrett Temple,G,28,TOR,18
4251,Paul George,F,20,PHI,19
6427,Bismack Biyombo,C,24,SA,20
6430,Jimmy Butler III,F,9,GS,21
6440,Tobias Harris,F,8,DET,22
6450,Kawhi Leonard,F,12,LAC,23
6475,Klay Thompson,G,6,DAL,24
6477,Jonas Valanciunas,C,7,DEN,25
6478,Nikola Vucevic,C,4,CHI,26
6578,Harrison Barnes,F,24,SA,27
6580,Bradley Beal,G,12,LAC,28
6583,Anthony Davis,F,6,DAL,29
6585,Andre Drummond,C,20,PHI,30
6589,Draymond Green,F,9,GS,31
6609,Khris Middleton,F,27,WSH,32
2326307,Seth Curry,G,9,GS,33
2488653,Mason Plumlee,C,30,CHA,34
2489663,Kelly Olynyk,F,24,SA,35
2490149,CJ McCollum,G,27,WSH,36
2528210,Tim Hardaway Jr.,G,7,DEN,37
2528426,Jordan Clarkson,G,18,NY,38
2528588,Doug McDermott,F,23,SAC,39
2530530,T.J. McConnell,G,11,IND,40
2531367,Dwight Powell,F,6,DAL,41
2578185,Dorian Finney-Smith,F,10,HOU,42
2578239,Pat Connaughton,G,30,CHA,43
2580365,Larry Nance Jr.,F,5,CLE,44
2581018,Kentavious Caldwell-Pope,G,29,MEM,45
2581184,Anthony Gill,F,27,WSH,46
2583632,Royce O'Neale,F,21,PHX,47
2595516,Norman Powell,G,14,MIA,48
2596112,Javonte Green,G,8,DET,49
2960236,Maxi Kleber,F,13,LAL,50
2968436,Joe Ingles,F,16,MIN,51
2990962,Taurean Prince,F,15,MIL,52
2990984,Buddy Hield,G,9,GS,53
2990992,Marcus Smart,G,13,LAL,54
2991043,Caris LeVert,G,8,DET,55
2991070,Jerami Grant,F,22,POR,56
2991139,Kris Dunn,G,12,LAC,57
2991235,Steven Adams,C,10,HOU,58
2991350,Alex Caruso,G,25,OKC,59
2993874,Kyle Anderson,F,26,UTAH,60
2999547,Gary Harris,G,15,MIL,61
3032976,Rudy Gobert,C,16,MIN,62
3032977,Giannis Antetokounmpo,F,15,MIL,63
3032978,Dario Saric,F,23,SAC,64
3032979,Dennis Schroder,G,23,SAC,65
3037789,Bogdan Bogdanovic,G,12,LAC,66
3059310,Monte Morris,PG,11,IND,67
3059318,Joel Embiid,C,20,PHI,68
3059319,Andrew Wiggins,F,14,MIA,69
3059409,Nigel Hayes-Davis,F,21,PHX,70
3062679,Josh Hart,G,18,NY,71
3064230,Cameron Payne,PG,20,PHI,72
3064290,Aaron Gordon,F,7,DEN,73
3064440,Zach LaVine,G,23,SAC,74
3064482,Bobby Portis,F,15,MIL,75
3064514,Julius Randle,F,16,MIN,76
3064560,Luke Kornet,C,24,SA,77
3078576,Derrick White,G,2,BOS,78
3102529,Clint Capela,C,10,HOU,79
3102530,Jusuf Nurkic,C,26,UTAH,80
3102531,Kristaps Porzingis,C,1,ATL,81
3102533,Thanasis Antetokounmpo,F,15,MIL,82
3112335,Nikola Jokic,C,7,DEN,83
3133602,Svi Mykhailiuk,G,26,UTAH,84
3133603,Kelly Oubre Jr.,G,20,PHI,85
3133626,Kenrich Williams,G,25,OKC,86
3133628,Myles Turner,C,15,MIL,87
3133635,Jevon Carter,G,4,CHI,88
3134903,Gary Payton II,G,9,GS,89
3134907,Kyle Kuzma,F,15,MIL,90
3134908,Jakob Poeltl,C,28,TOR,91
3134916,Jordan McLaughlin,G,24,SA,92
3134932,John Konchar,G,29,MEM,93
3135045,Grayson Allen,G,21,PHX,94
3135046,Tyus Jones,G,19,ORL,95
3136193,Devin Booker,G,21,PHX,96
3136195,Karl-Anthony Towns,C,18,NY,97
3136776,D'Angelo Russell,G,6,DAL,98
3136777,Jae'Sean Tate,F,10,HOU,99
3137259,Gabe Vincent,G,13,LAL,100
3138160,Caleb Martin,F,6,DAL,101
3138161,Cody Martin,SF,11,IND,102
3138196,Cameron Johnson,F,7,DEN,103
3146557,Jock Landale,C,29,MEM,104
3147657,Mikal Bridges,G,18,NY,105
3149673,Pascal Siakam,F,11,IND,106
3150844,Moritz Wagner,F,19,ORL,107
3155526,Dillon Brooks,F,21,PHX,108
3155535,Kevon Looney,F,3,NO,109
3155942,Domantas Sabonis,F,23,SAC,110
3157465,Duncan Robinson,F,8,DET,111
3899664,Simone Fontecchio,F,14,MIA,112
3906665,Brandon Clarke,F,29,MEM,113
3907497,Dejounte Murray,G,3,NO,114
3907498,Matisse Thybulle,G,22,POR,115
3907823,Terance Mann,G,17,BKN,116
3908809,Donovan Mitchell,G,5,CLE,117
3908845,John Collins,F,12,LAC,118
3912848,Dean Wade,F,5,CLE,119
3913174,Luke Kennard,G,1,ATL,120
3913176,Brandon Ingram,F,28,TOR,121
3913180,Garrison Mathews,G,11,IND,122
3914044,Landry Shamet,G,18,NY,123
3914285,Drew Eubanks,F,23,SAC,124
3917376,Jaylen Brown,G,2,BOS,125
3922230,Aaron Holiday,G,10,HOU,126
3934672,Jalen Brunson,G,18,NY,127
3934673,Donte DiVincenzo,G,16,MIN,128
3934719,OG Anunoby,F,18,NY,129
3934723,Thomas Bryant,C,5,CLE,130
3936099,Derrick Jones Jr.,F,12,LAC,131
3936296,Skal Labissiere,C,27,WSH,132
3936299,Jamal Murray,G,7,DEN,133
3945274,Luka Doncic,G,13,LAL,134
3948153,Chris Boucher,F,2,BOS,135
4017837,Ivica Zubac,C,12,LAC,136
4017844,Guerschon Yabusele,F,18,NY,137
4065648,Jayson Tatum,F,2,BOS,138
4065654,Jonathan Isaac,F,19,ORL,139
4065663,Josh Okogie,G,10,HOU,140
4065670,Bruce Brown,G,7,DEN,141
4065673,Tony Bradley,C,11,IND,142
4065731,Jay Huff,C,11,IND,143
4065732,De'Andre Hunter,F,5,CLE,144
4065733,Ty Jerome,G,29,MEM,145
4065804,Sam Hauser,F,2,BOS,146
4066211,Robert Williams III,C,22,POR,147
4066218,Grant Williams,F,30,CHA,148
4066259,De'Aaron Fox,G,24,SA,149
4066261,Bam Adebayo,C,14,MIA,150
4066262,Malik Monk,G,23,SAC,151
4066268,Duop Reath,C,22,POR,152
4066317,Lindy Waters III,F,24,SA,153
4066320,Desmond Bane,G,19,ORL,154
4066328,Jarrett Allen,C,5,CLE,155
4066336,Lauri Markkanen,F,26,UTAH,156
4066354,Payton Pritchard,G,2,BOS,157
4066372,Kevin Huerter,G,4,CHI,158
4066383,Miles Bridges,F,30,CHA,159
4066387,Amir Coffey,G,15,MIL,160
4066399,Micah Potter,C,11,IND,161
4066421,Lonzo Ball,G,5,CLE,162
4066436,De'Anthony Melton,G,9,GS,163
4066457,Austin Reaves,G,13,LAL,164
4066648,Rui Hachimura,F,13,LAL,165
4066650,Zach Collins,F,4,CHI,166
4066757,Sam Merrill,G,5,CLE,167
4066993,Dru Smith,G,14,MIA,168
4067017,A.J. Lawson,G,28,TOR,169
4222252,Isaiah Hartenstein,C,25,OKC,170
4277811,Collin Sexton,G,30,CHA,171
4277813,Herbert Jones,F,3,NO,172
4277843,Gary Trent Jr.,G,15,MIL,173
4277847,Wendell Carter Jr.,C,19,ORL,174
4277848,Marvin Bagley III,F,27,WSH,175
4277869,Jose Alvarado,G,3,NO,176
4277905,Trae Young,G,1,ATL,177
4277919,Mo Bamba,C,28,TOR,178
4277922,Jericho Sims,C,15,MIL,179
4277951,Luka Garza,C,2,BOS,180
4277956,Jordan Poole,G,3,NO,181
4277957,Isaiah Livers,F,21,PHX,182
4277961,Jaren Jackson Jr.,F,29,MEM,183
4277964,Xavier Tillman,F,2,BOS,184
4278039,Nickeil Alexander-Walker,G,1,ATL,185
4278049,Daniel Gafford,F,6,DAL,186
4278053,Davion Mitchell,G,14,MIA,187
4278067,Nic Claxton,C,17,BKN,188
4278073,Shai Gilgeous-Alexander,G,25,OKC,189
4278076,Nick Richards,C,21,PHX,190
4278077,Jarred Vanderbilt,F,13,LAL,191
4278078,P.J. Washington,F,6,DAL,192
4278104,Michael Porter Jr.,F,17,BKN,193
4278129,Deandre Ayton,C,13,LAL,194
4278355,Obi Toppin,F,11,IND,195
4278402,Jordan Goodwin,G,21,PHX,196
4278516,Ethan Thompson,G,11,IND,197
4278562,Paul Reed,F,8,DET,198
4278572,Jamal Cain,F,19,ORL,199
4278580,Sandro Mamukelashvili,F,28,TOR,200
4278585,Collin Gillespie,G,21,PHX,201
4278594,Naji Marshall,F,6,DAL,202
4279118,Keaton Wallace,G,1,ATL,203
4279318,Daeqwon Plowden,G,23,SAC,204
4279532,Stanley Umude,G,24,SA,205
4279888,Ja Morant,G,29,MEM,206
4280151,Corey Kispert,F,27,WSH,207
4280245,Jamaree Bouyea,G,21,PHX,208
4348700,Goga Bitadze,C,19,ORL,209
4351851,Anfernee Simons,G,2,BOS,210
4351852,Mitchell Robinson,C,18,NY,211
4395620,Hunter Tyson,F,7,DEN,212
4395623,Trey Jemison III,F,18,NY,213
4395625,RJ Barrett,F,28,TOR,214
4395626,Tre Jones,G,4,CHI,215
4395628,Zion Williamson,F,3,NO,216
4395630,Devin Vassell,G,24,SA,217
4395650,Leaky Black,F,27,WSH,218
4395651,Coby White,G,4,CHI,219
4395676,Buddy Boeheim,F,25,OKC,220
4395702,Isaiah Joe,G,25,OKC,221
4395712,Andrew Nembhard,G,11,IND,222
4395723,Keldon Johnson,F,24,SA,223
4395724,Immanuel Quickley,G,28,TOR,224
4395725,Tyler Herro,G,14,MIA,225
4396818,Jordan Miller,G,12,LAC,226
4396907,Darius Garland,G,5,CLE,227
4396909,Aaron Nesmith,G,11,IND,228
4396963,Blake Hinson,F,26,UTAH,229
4396971,Naz Reid,C,16,MIN,230
4397002,Ayo Dosunmu,G,4,CHI,231
4397014,Quentin Grimes,G,20,PHI,232
4397018,Ochai Agbaji,G,28,TOR,233
4397020,Luguentz Dort,G,25,OKC,234
4397040,Brandon Williams,G,6,DAL,235
