athlete_id,min_mean,min_sd,min_median,n_recent
1966,32.93333333333333,2.9632671801497046,34,15
2779,14.2,4.7086546455891805,14,15
3012,8.875,4.969550137731641,9.5,8
3195,16.6,5.487648468541487,16,15
3202,36.4,3.5816995167896803,37,15
3209,5.8,3.8209946349085597,5,15
3213,25.533333333333335,3.159264531651692,26,15
3416,15.533333333333333,6.356848575318104,16,15
3431,12.333333333333334,6.501281924871945,12,6
3442,16.25,7.324128422062051,13,8
3448,27.8,5.990468619875601,26,15
3449,17.066666666666666,5.861090423494672,16,15
3468,26.6,5.973752111170524,26,15
3975,30.466666666666665,3.6423435679060625,32,15
3978,26.2,5.595916878786327,27,15
3992,33.13333333333333,3.0441200151549,34,15
3995,29.533333333333335,3.907258203224694,29,15
4023,2.7857142857142856,2,2,14
4251,33.06666666666667,2.9390636669006063,33,15
6427,5,3.872983346207417,4,15
6430,31.066666666666666,4.542917040635371,32,15
6440,30.533333333333335,4.389381125701739,31,15
6450,31.2,3.4887574537976374,31,15
6475,21.266666666666666,4.620863658709371,20,15
6477,12.333333333333334,4.3369947901195145,12,15
6478,23.2,7.645727098003359,23,15
6578,22.733333333333334,5.560918046852473,21,15
6580,20.2,2,20,5
6583,31.666666666666668,7.0373155054899685,34,15
6585,18.133333333333333,9.022722638401548,20,15
6589,26.733333333333334,5.020908663730482,24,15
6609,24.666666666666668,5.802298395176404,25,15
2326307,16,2.8284271247461903,16,2
2488653,8.857142857142858,6.467161342055401,6.5,14
2489663,8.733333333333333,4.511361319200774,8,15
2490149,28.866666666666667,2.8751811537130436,29,15
2528210,27.6,6.056873309366335,28,15
2528426,13.066666666666666,7.741047056038965,13,15
2528588,9.23076923076923,5.525001450284066,8,13
2530530,16,2,16,15
2531367,12.6,8.854377448471462,11,15
2578185,18.2,4.616739727804212,17,15
2578239,7.133333333333334,5.591660457025862,6,15
2580365,10.8,4.246006527146588,10,15
2581018,20.466666666666665,5.0123656614227095,21,15
2581184,22.866666666666667,9.568300839353922,27,15
2583632,28.466666666666665,6.988425805436817,27,15
2595516,28.133333333333333,5.950590206821825,30,15
2596112,15.2,3.8396428405331067,16,15
2960236,11.066666666666666,8.556256413264146,11,15
2968436,5.266666666666667,2,5,15
2990962,20.857142857142858,5.367450401216932,21,7
2990984,16,8.07995756707387,17,15
2990992,27.8,4.178174584330202,29,15
